,searched,tconst,Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,Simple_Title,net_year,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,TitleCanonical,ReleaseYear,TMDBLanguage,TMDBPoster,TMDBGenres,TMDBCountry
0,Back in Action,tt21191806,Back in Action,Yes,2025-01-17,313000000,114,164700000,Back in Action,2025.0,movie,Back in Action,Back in Action,2025,114,"Action,Comedy",Back in Action,2025,en,https://image.tmdb.org/t/p/w500/3L3l6LsiLGHkTG4RFB2aBA6BttB.jpg,Action|Comedy,US
1,STRAW,tt32550101,STRAW,Yes,2025-06-06,185200000,105,102900000,STRAW,2025.0,movie,Straw,Straw,2025,105,"Drama,Thriller",STRAW,2025,en,https://image.tmdb.org/t/p/w500/t3cmnXYtxJb9vVL1ThvT2CWSe1n.jpg,Thriller|Drama|Crime,US
2,The Life List,tt2172954,The Life List,Yes,2025-03-28,198900000,123,95500000,The Life List,2025.0,movie,The Life List,The Life List,2025,123,"Comedy,Drama,Romance",The Life List,2025,en,https://image.tmdb.org/t/p/w500/5fg98cVo7da7OIK45csdLSd4NaU.jpg,Romance|Comedy|Drama,US
3,Exterritorial,tt30876483,Exterritorial,Yes,2025-04-30,159000000,109,87500000,Exterritorial,2025.0,movie,Exterritorial,Exterritorial,2025,109,"Action,Mystery,Thriller",Exterritorial,2025,de,https://image.tmdb.org/t/p/w500/micQGmD3K7Ni0wzyaSgBKGxrFWn.jpg,Thriller|Action,DE
4,Havoc,tt14123284,Havoc,Yes,2025-04-25,154900000,107,86900000,Havoc,2025.0,movie,Havoc,Havoc,2025,107,"Action,Crime,Drama",Havoc,2025,en,https://image.tmdb.org/t/p/w500/ubP2OsF3GlfqYPvXyLw9d78djGX.jpg,Action|Crime|Thriller,GB
5,The Secret Life of Pets 2,tt5113040,The Secret Life of Pets 2,No,,106800000,86,74500000,The Secret Life of Pets 2,1000.0,movie,The Secret Life of Pets 2,The Secret Life of Pets 2,2019,86,"Adventure,Animation,Comedy",The Secret Life of Pets 2,2019,en,https://image.tmdb.org/t/p/w500/s9xg4V5EDKiphgIksVJ9gewBM11.jpg,Family|Comedy|Adventure|Animation,US
6,The Electric State,tt7766378,The Electric State,Yes,2025-03-14,158200000,125,74200000,The Electric State,2025.0,movie,The Electric State,The Electric State,2025,125,"Action,Adventure,Comedy",The Electric State,2025,en,https://image.tmdb.org/t/p/w500/sI2NiMU8o65hmIMY0JI9CjJ0p7f.jpg,Science Fiction|Adventure|Action,US
0,Counterattack,tt23648788,Counterattack // Contraataque,Yes,2025-02-28,101000000,85,71300000,Counterattack,2025.0,movie,Counterstrike,Contraataque,2025.0,84.0,"Action,Thriller",Counterattack,2025,es,https://image.tmdb.org/t/p/w500/38I76hGcFY6xB47pjm7pZwkfuAF.jpg,Action|Adventure|Thriller,MX
8,Ad Vitam,tt32138452,Ad Vitam,Yes,2025-01-10,114000000,97,69800000,Ad Vitam,2025.0,movie,Ad Vitam,Ad Vitam,2025,98,"Action,Crime,Drama",Ad Vitam,2025,fr,https://image.tmdb.org/t/p/w500/xqBSapk1nC35WlZ6PraMjOVMQBy.jpg,Thriller|Drama|Crime|Action,FR
9,Despicable Me 4,tt7510222,Despicable Me 4,No,,109400000,94,69800000,Despicable Me 4,1000.0,movie,Despicable Me 4,Despicable Me 4,2024,94,"Adventure,Animation,Comedy",Despicable Me 4,2024,en,https://image.tmdb.org/t/p/w500/wWba3TaojhK7NdycRhoQpsG0FaH.jpg,Family|Comedy|Animation|Science Fiction,US
10,The Secret Life of Pets,tt2709768,The Secret Life of Pets,No,,95600000,86,65900000,The Secret Life of Pets,1000.0,movie,The Secret Life of Pets,The Secret Life of Pets,2016,86,"Adventure,Animation,Comedy",The Secret Life of Pets,2016,en,https://image.tmdb.org/t/p/w500/bc3rCMgP4bbxNqGQCRlpJyU8otF.jpg,Family|Comedy|Adventure|Animation,US
11,Kinda Pregnant,tt30253036,Kinda Pregnant,Yes,2025-02-05,98100000,98,58900000,Kinda Pregnant,2025.0,movie,Kinda Pregnant,Kinda Pregnant,2025,97,"Comedy,Drama",Kinda Pregnant,2025,en,https://image.tmdb.org/t/p/w500/k2Lq3rCJ7P9gk5Df9of9kqr9IJM.jpg,Comedy|Romance,US
12,Nonnas,tt28309594,Nonnas,Yes,2025-05-09,109500000,112,57600000,Nonnas,2025.0,movie,Nonnas,Nonnas,2025,111,Comedy,Nonnas,2025,en,https://image.tmdb.org/t/p/w500/5Bf1xlxLuCHdi74MpdFi2Yz3FGJ.jpg,Comedy,US
13,iHostage,tt31181421,iHostage,Yes,2025-04-18,97600000,100,57400000,iHostage,2025.0,movie,iHostage,iHostage,2025,100,"Crime,Drama,Thriller",iHostage,2025,nl,https://image.tmdb.org/t/p/w500/tn3Ckxyc7OWXnhMPkiIBvqLdFC6.jpg,Thriller|Crime|Drama,NL
14,La Dolce Villa,tt31519456,La Dolce Villa,Yes,2025-02-13,91500000,99,55500000,La Dolce Villa,2025.0,movie,La Dolce Villa,La Dolce Villa,2025,99,"Comedy,Romance",La Dolce Villa,2025,en,https://image.tmdb.org/t/p/w500/sEma5RN8aZ5Yu2Dkefyn5ULdlc1.jpg,Romance|Comedy,US
